#TYPE System.Management.Automation.PSCustomObject
"adminConsentDescription","adminConsentDisplayName","id","isEnabled","type","userConsentDescription","userConsentDisplayName","value"
"Allows the app to read all security alerts, on behalf of the signed-in user.","Read all security alerts","bc257fb8-46b4-4b15-8713-01e91bfbe4ea","True","Admin","Allows the app to read all security alerts that you have access to.","Read all alerts","SecurityAlert.Read.All"
"Allows the app to update service announcement messages' user status on behalf of the signed-in user. The message status can be marked as read, archive, or favorite.","Update user status on service announcement messages","636e1b0b-1cc2-4b1c-9aa9-4eeed9b9761b","True","Admin","Allows the app to update service announcement messages' status on your behalf. Your status for messages can be marked as read, archive, or favorite.","Update your user status on service announcement messages","ServiceMessageViewpoint.Write"
"Allows the app to run hunting queries, on behalf of the signed-in user.","Run hunting queries","b152eca8-ea73-4a48-8c98-1a6742673d99","True","Admin","Allows the app to run hunting queries that you can execute.","Run hunting queries","ThreatHunting.Read.All"
"Allows a Teams app to read, install, upgrade, and uninstall itself to teams the signed-in user can access.","Allow the app to manage itself in teams","0f4595f7-64b1-4e13-81bc-11a249df07a9","True","Admin","Allows a Teams app to read, install, upgrade, and uninstall itself to teams you can access.","Allow the Teams app to manage itself in teams","TeamsAppInstallation.ReadWriteSelfForTeam"
"Allow the app to read the management data for Teams devices on behalf of the signed-in user.","Read Teams devices","b659488b-9d28-4208-b2be-1c6652b3c970","True","Admin","Allow the app to read the management data for Teams devices on your behalf.","Read Teams devices","TeamworkDevice.Read.All"
"Allow the app to read and write the management data for Teams devices on behalf of the signed-in user.","Read and write Teams devices","ddd97ecb-5c31-43db-a235-0ee20e635c40","True","Admin","Allow the app to read and write the management data for Teams devices on your behalf.","Read and write Teams devices","TeamworkDevice.ReadWrite.All"
"Allows the app to read all identity risky service principal information for your organization, on behalf of the signed-in user.","Read all identity risky service principal information","ea5c4ab0-5a73-4f35-8272-5d5337884e5d","True","Admin","Allows the app to read all identity risky service principal information for your organization, on your behalf.","Read all identity risky service principal information","IdentityRiskyServicePrincipal.Read.All"
"Allows the app to read and update identity risky service principal information for all service principals in your organization, on behalf of the signed-in user. Update operations include dismissing risky service principals.","Read and write all identity risky service principal information","bb6f654c-d7fd-4ae3-85c3-fc380934f515","True","Admin","Allows the app to read and update identity risky service principal information for all service principals in your organization, on your behalf. Update operations include dismissing risky service principals.","Read and write all identity risky service principal information","IdentityRiskyServicePrincipal.ReadWrite.All"
"Allows a Teams app to read, install, upgrade, and uninstall its own tabs to teams the signed-in user can access.","Allow the Teams app to manage only its own tabs in teams","f266662f-120a-4314-b26a-99b08617c7ef","True","Admin","Allows a Teams app to read, install, upgrade, and uninstall its own tabs to teams you can access.","Allow the Teams app to manage only its own tabs in teams","TeamsTab.ReadWriteSelfForTeam"
"Allows the app to read the presence information and write activity and availability on behalf of the signed-in user. Presence information includes activity, availability, status note, calendar out-of-office message, timezone and location.","Read and write a user's presence information","8d3c54a7-cf58-4773-bf81-c0cd6ad522bb","True","User","Allows the app to read the presence information and write activity and availability on your behalf. Presence information includes activity, availability, status note, calendar out-of-office message, timezone and location.","Read and write your presence information","Presence.ReadWrite"
"Allows the app to read subject rights requests on behalf of the signed-in user","Read subject rights requests","9c3af74c-fd0f-4db4-b17a-71939e2a9d77","True","Admin","Allows the app to read subject rights requests on your behalf.","Read data subject requests","SubjectRightsRequest.Read.All"
"Allows the app to read and write subject rights requests on behalf of the signed-in user","Read and write subject rights requests","2b8fcc74-bce1-4ae3-a0e8-60c53739299d","True","Admin","Allows the app to read and write subject rights requests on your behalf.","Read and write data subject requests","SubjectRightsRequest.ReadWrite.All"
"Allows a Teams app to read, install, upgrade, and uninstall its own tabs for the signed-in user.","Allow the Teams app to manage only its own tabs for a user","395dfec1-a0b9-465f-a783-8250a430cb8c","True","User","Allows a Teams app to read, install, upgrade, and uninstall its own tabs for you.","Allow the Teams app to manage only its own tabs for you","TeamsTab.ReadWriteSelfForUser"
"Allows a Teams app to read, install, upgrade, and uninstall its own tabs in chats the signed-in user can access.","Allow the Teams app to manage only its own tabs in chats","0c219d04-3abf-47f7-912d-5cca239e90e6","True","Admin","Allows a Teams app to read, install, upgrade, and uninstall its own tabs in chats you can access.","Allow the Teams app to manage only its own tabs in chats","TeamsTab.ReadWriteSelfForChat"
"Allows the app to read and write search configuration, on behalf of the signed-in user.","Read and write your organization's search configuration","b1a7d408-cab0-47d2-a2a5-a74a3733600d","True","Admin","Allows the app to read and write search configuration, on your behalf.","Read and write your organization's search configuration","SearchConfiguration.ReadWrite.All"
"Allows the app to read search configuration, on behalf of the signed-in user.","Read your organization's search configuration","7d307522-aa38-4cd0-bd60-90c6f0ac50bd","True","Admin","Allows the app to read search configuration, on your behalf.","Read your organization's search configuration","SearchConfiguration.Read.All"
"Allows the app to read online meeting artifacts on behalf of the signed-in user.","Read user's online meeting artifacts","110e5abb-a10c-4b59-8b55-9b4daa4ef743","True","User","Allows the app to read online meeting artifacts on your behalf.","Read user's online meeting artifacts","OnlineMeetingArtifact.Read.All"
"Allows the app to read and manage the active role-based access control (RBAC) assignments for your company's directory, on behalf of the signed-in user. This includes managing active directory role membership, and reading directory role templates, directory roles and active memberships.","Read, update, and delete all active role assignments for your company's directory","8c026be3-8e26-4774-9372-8d5d6f21daff","True","Admin","Allows the app to read and manage the active role-based access control (RBAC) assignments for your company's directory, on your behalf. This includes managing active directory role membership, and reading directory role templates, directory roles and active memberships.","Read, update, and delete all active role assignments for your company's directory","RoleAssignmentSchedule.ReadWrite.Directory"
"Allows the app to read and manage the eligible role-based access control (RBAC) assignments for your company's directory, on behalf of the signed-in user. This includes managing eligible directory role membership, and reading directory role templates, directory roles and eligible memberships.","Read, update, and delete  all eligible role assignments for your company's directory","62ade113-f8e0-4bf9-a6ba-5acb31db32fd","True","Admin","Allows the app to read and manage the eligible role-based access control (RBAC) assignments for your company's directory, on your behalf. This includes managing eligible directory role membership, and reading directory role templates, directory roles and eligible memberships.","Read, update, and delete  all eligible role assignments for your company's directory","RoleEligibilitySchedule.ReadWrite.Directory"
"Allows the app to read, update, and delete policies for privileged role-based access control (RBAC) assignments of your company's directory, on behalf of the signed-in user.","Read, update, and delete all policies for privileged role assignments of your company's directory","1ff1be21-34eb-448c-9ac9-ce1f506b2a68","True","Admin","Allows the app to read, update, and delete policies for privileged role-based access control (RBAC) assignments of your company's directory, on your behalf.","Read, update, and delete all policies for privileged role assignments of your company's directory","RoleManagementPolicy.ReadWrite.Directory"
"Allows the app to read the active role-based access control (RBAC) assignments for your company's directory, on behalf of the signed-in user. This includes reading directory role templates, and directory roles.","Read all active role assignments for your company's directory","344a729c-0285-42c6-9014-f12b9b8d6129","True","Admin","Allows the app to read the active role-based access control (RBAC) assignments for your company's directory, on your behalf. This includes reading directory role templates, and directory roles.","Read all active role assignments for your company's directory","RoleAssignmentSchedule.Read.Directory"
"Allows the app to read the eligible role-based access control (RBAC) assignments for your company's directory, on behalf of the signed-in user. This includes reading directory role templates, and directory roles.","Read all eligible role assignments for your company's directory","eb0788c2-6d4e-4658-8c9e-c0fb8053f03d","True","Admin","Allows the app to read the eligible role-based access control (RBAC) assignments for your company's directory, on your behalf. This includes reading directory role templates, and directory roles.","Read all eligible role assignments for your company's directory","RoleEligibilitySchedule.Read.Directory"
"Allows the app to read policies for privileged role-based access control (RBAC) assignments of your company's directory, on behalf of the signed-in user.","Read all policies for privileged role assignments of your company's directory","3de2cdbe-0ff5-47d5-bdee-7f45b4749ead","True","Admin","Allows the app to read policies for privileged role-based access control (RBAC) assignments of your company's directory, on your behalf.","Read all policies for privileged role assignments of your company's directory","RoleManagementPolicy.Read.Directory"
"Allows the app to read and write all Windows update deployment settings for the organization on behalf of the signed-in user.","Read and write all Windows update deployment settings","11776c0c-6138-4db3-a668-ee621bea2555","True","Admin","Allows the app to read and write all Windows update deployment settings for the organization on your behalf.","Read and write all Windows update deployment settings","WindowsUpdates.ReadWrite.All"
"Allows the app to read and write your organization's mobility management policies on behalf of the signed-in user.  For example, a mobility management policy can set the enrollment scope for a given mobility management application.","Read and write your organization's mobility management policies","a8ead177-1889-4546-9387-f25e658e2a79","True","Admin","Allows the app to read and write your organization's mobility management policies on your behalf.  For example, a mobility management policy can set the enrollment scope for a given mobility management application.","Read and write your organization's mobility management policies","Policy.ReadWrite.MobilityManagement"
"Allows the app to read basic unified group properties, memberships and owners of the group the signed-in guest is a member of.","Read unified group memberships as guest","73e75199-7c3e-41bb-9357-167164dbb415","True","Admin","Allows the app to read basic unified group properties, memberships and owners of the group you are a member of.","Read unified group memberships as guest","UnifiedGroupMember.Read.AsGuest"
"Allows the app to update service principal endpoints","Read and update service principal endpoints","7297d82c-9546-4aed-91df-3d4f0a9b3ff0","True","Admin","Allows the app to update service principal endpoints","Read and update service principal endpoints","ServicePrincipalEndpoint.ReadWrite.All"
"Allows the app to read service principal endpoints","Read service principal endpoints","9f9ce928-e038-4e3b-8faf-7b59049a8ddc","True","Admin","Allows the app to read service principal endpoints","Read service principal endpoints","ServicePrincipalEndpoint.Read.All"
"Allows the app to create new notifications in users' teamwork activity feeds on behalf of the signed in user. These notifications may not be discoverable or be held or governed by compliance policies.","Send a teamwork activity as the user","7ab1d787-bae7-4d5d-8db6-37ea32df9186","True","User","Allows the app to create new activities in your teamwork activity feed, and send new activities to other users' activity feed, on your behalf.","Send a teamwork activity","TeamsActivity.Send"
"Allows the app to read and write eDiscovery objects such as cases, custodians, review sets and other related objects on behalf of the signed-in user.","Read and write all eDiscovery objects","acb8f680-0834-4146-b69e-4ab1b39745ad","True","Admin","Allows the app to read and write eDiscovery objects such as cases, custodians, review sets and other related objects on your behalf.","Read and write all eDiscovery objects","eDiscovery.ReadWrite.All"
"Allows the app to read eDiscovery objects such as cases, custodians, review sets and other related objects on behalf of the signed-in user.","Read all eDiscovery objects","99201db3-7652-4d5a-809a-bdb94f85fe3c","True","Admin","Allows the app to read eDiscovery objects such as cases, custodians, review sets and other related objects on your behalf.","Read all eDiscovery objects","eDiscovery.Read.All"
"Allows the app to read and write custom security attribute assignments for all principals in the tenant on behalf of a signed in user.","Read and write custom security attribute assignments","ca46335e-8453-47cd-a001-8459884efeae","True","Admin","Allows the app to read and write custom security attribute assignments for all principals in the tenant on your behalf.","Read and write custom security attribute assignments","CustomSecAttributeAssignment.ReadWrite.All"
"Allows the app to read and write custom security attribute definitions for the tenant on behalf of a signed in user.","Read and write custom security attribute definitions","8b0160d4-5743-482b-bb27-efc0a485ca4a","True","Admin","Allows the app to read and write custom security attribute definitions for the tenant on your behalf.","Read and write custom security attribute definitions","CustomSecAttributeDefinition.ReadWrite.All"
"Allows the app to read email in the signed-in user's mailbox except body, previewBody, attachments and any extended properties.","Read user basic mail","a4b8392a-d8d1-4954-a029-8e668a39a170","True","User","Allows the app to read email in the signed-in user's mailbox except body, previewBody, attachments and any extended properties.","Read user basic mail","Mail.ReadBasic"
"Allows the app to read and write your organization's feature rollout policies on behalf of the signed-in user. Includes abilities to assign and remove users and groups to rollout of a specific feature.","Read and write your organization's feature rollout policies","92a38652-f13b-4875-bc77-6e1dbb63e1b2","True","Admin","Allows the app to read and write your organization's feature rollout policies on your behalf. Includes abilities to assign and remove users and groups to rollout of a specific feature.","Read and write your organization's feature rollout policies","Policy.ReadWrite.FeatureRollout"
"Allows the app to read and manage the role-based access control (RBAC) settings for your company's directory, on behalf of the signed-in user. This includes instantiating directory roles and managing directory role membership, and reading directory role templates, directory roles and memberships.","Read and write directory RBAC settings","d01b97e9-cbc0-49fe-810a-750afd5527a3","True","Admin","Allows the app to read and manage the role-based access control (RBAC) settings for your company's directory, on your behalf. This includes instantiating directory roles and managing directory role membership, and reading directory role templates, directory roles and memberships.","Read and write directory RBAC settings","RoleManagement.ReadWrite.Directory"
"Allows the app to read the role-based access control (RBAC) settings for your company's directory, on behalf of the signed-in user.  This includes reading directory role templates, directory roles and memberships.","Read directory RBAC settings","741c54c3-0c1e-44a1-818b-3f97ab4e8c83","True","Admin","Allows the app to read the role-based access control (RBAC) settings for your company's directory, on your behalf.  This includes reading directory role templates, directory roles and memberships.","Read directory RBAC settings","RoleManagement.Read.Directory"
"Allows the app to read and write the organization and related resources, on behalf of the signed-in user.?Related resources include things like subscribed skus and tenant branding information.","Read and write organization information","46ca0847-7e6b-426e-9775-ea810a948356","True","Admin","Allows the app to read and write the organization and related resources, on your behalf.?Related resources include things like subscribed skus and tenant branding information.","Read and write organization information","Organization.ReadWrite.All"
"Allows the app to read the organization and related resources, on behalf of the signed-in user.?Related resources include things like subscribed skus and tenant branding information.","Read organization information","4908d5b9-3fb2-4b1e-9336-1888b7937185","True","Admin","Allows the app to read the organization and related resources, on your behalf.?Related resources include things like subscribed skus and tenant branding information.","Read organization information","Organization.Read.All"
"Allows the app to read your company's places (conference rooms and room lists) for calendar events and other applications, on behalf of the signed-in user.","Read all company places","cb8f45a0-5c2e-4ea1-b803-84b870a7d7ec","True","Admin","Allows the app to read your company's places (conference rooms and room lists) for calendar events and other applications, on your behalf.","Read all company places","Place.Read.All"
"Allows the app to manage workforce integrations, to synchronize data from Microsoft Teams Shifts, on behalf of the signed-in user.","Read and write workforce integrations","08c4b377-0d23-4a8b-be2a-23c1c1d88545","True","Admin","Allows the app to manage workforce integrations, to synchronize data from Microsoft Teams Shifts, on your behalf.","Read and write workforce integrations","WorkforceIntegration.ReadWrite.All"
"Allows the app to read workforce integrations, to synchronize data from Microsoft Teams Shifts, on behalf of the signed-in user.","Read workforce integrations","f1ccd5a7-6383-466a-8db8-1a656f7d06fa","True","Admin","Allows the app to read workforce integrations, to synchronize data from Microsoft Teams Shifts, on your behalf.","Read workforce integrations","WorkforceIntegration.Read.All"
"Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings for group and app memberships that the signed-in user has access to in the organization.","Manage access reviews for group and app memberships","5af8c3f5-baca-439a-97b0-ea58a435e269","True","Admin","Allows the app to read, update and perform action on access reviews, reviewers, decisions and settings that you have access to.","Manage access reviews for group and app memberships","AccessReview.ReadWrite.Membership"
"Allows the app to manage hybrid identity service configuration by creating, viewing, updating and deleting on-premises published resources, on-premises agents and agent groups, on behalf of the signed-in user.","Manage on-premises published resources","8c4d5184-71c2-4bf8-bb9d-bc3378c9ad42","True","Admin","Allows the app to manage hybrid identity service configuration by creating, viewing, updating and deleting on-premises published resources, on-premises agents and agent groups, on your behalf.","Manage on-premises published resources","OnPremisesPublishingProfiles.ReadWrite.All"
"Allows an app to read information protection sensitivity labels and label policy settings, on behalf of the signed-in user.","Read user sensitivity labels and label policies.","4ad84827-5578-4e18-ad7a-86530b12f884","True","User","Allows an app to read information protection sensitivity labels and label policy settings, on behalf of the signed-in user.","Read user sensitivity labels and label policies.","InformationProtectionPolicy.Read"
"Allows the app to read administrative units and administrative unit membership on behalf of the signed-in user.","Read administrative units","3361d15d-be43-4de6-b441-3c746d05163d","True","Admin","Allows the app to read administrative units and administrative unit membership on your behalf.","Read administrative units","AdministrativeUnit.Read.All"
"Allows the app to create, read, update, and delete administrative units and manage administrative unit membership on behalf of the signed-in user.","Read and write administrative units","7b8a2d34-6b3f-4542-a343-54651608ad81","True","Admin","Allows the app to create, read, update, and delete administrative units and manage administrative unit membership on your behalf.","Read and write administrative units","AdministrativeUnit.ReadWrite.All"
"Allows the app to read your family information, members and their basic profile.","Read your family info","3a1e4806-a744-4c70-80fc-223bf8582c46","True","User","Allows the app to read your family information, members and their basic profile.","Read your family info","Family.Read"
"Allows the app to create threat indicators, and fully manage those threat indicators (read, update and delete), on behalf of the signed-in user. ?It cannot update any threat indicators it does not own.","Manage threat indicators this app creates or owns","91e7d36d-022a-490f-a748-f8e011357b42","True","Admin","Allows the app to create threat indicators, and fully manage those threat indicators (read, update and delete), on your behalf. ?It cannot update any threat indicators that it is not an owner of.","Manage threat indicators this app creates or owns","ThreatIndicators.ReadWrite.OwnedBy"
"Allows the app to read or update security actions, on behalf of the signed-in user.","Read and update your organization's security actions","dc38509c-b87d-4da0-bd92-6bec988bac4a","True","Admin","Allows the app to read and update security actions, on your behalf.","Read and update your organization's security actions","SecurityActions.ReadWrite.All"
"Allows the app to read security actions, on behalf of the signed-in user.","Read your organization's security actions","1638cddf-07a4-4de2-8645-69c96cacad73","True","Admin","Allows the app to read security actions, on your behalf.","Read your organization's security actions","SecurityActions.Read.All"
"Allows an app to read 1 on 1 or group chats threads, on behalf of the signed-in user.","Read user chat messages","f501c180-9344-439a-bca0-6cbf209fd270","True","User","Allows an app to read your 1 on 1 or group chat messages in Microsoft Teams, on your behalf.","Read your chat messages","Chat.Read"
"Allows an app to read and write 1 on 1 or group chats threads, on behalf of the signed-in user.","Read and write user chat messages","9ff7295e-131b-4d94-90e1-69fde507ac11","True","User","Allows an app to read and write your 1 on 1 or group chat messages in Microsoft Teams, on your behalf.","Read and write your chat messages","Chat.ReadWrite"
"Allows the app to read and write your organization's trust framework policies on behalf of the signed-in user.","Read and write your organization's trust framework policies","cefba324-1a70-4a6e-9c1d-fd670b7ae392","True","Admin","Allows the app to read and write your organization's trust framework policies on your behalf.","Read and write trust framework policies","Policy.ReadWrite.TrustFramework"
"Allows the app to read trust framework key set properties on behalf of the signed-in user.","Read trust framework key sets","7ad34336-f5b1-44ce-8682-31d7dfcd9ab9","True","Admin","Allows the app to read trust framework key sets, on your behalf.","Read trust framework key sets","TrustFrameworkKeySet.Read.All"
"Allows the app to read and write trust framework key set properties on behalf of the signed-in user.","Read and write trust framework key sets","39244520-1e7d-4b4a-aee0-57c65826e427","True","Admin","Allows the app to read or write trust framework key sets, on your behalf.","Read and write trust framework key sets","TrustFrameworkKeySet.ReadWrite.All"
"Allows the app to read and update identity risk event information for all users in your organization on behalf of the signed-in user.?Update operations include confirming risk event detections.?","Read and write risk event information","9e4862a5-b68f-479e-848a-4e07e25c9916","True","Admin","Allows the app to read and update identity risk event information for all users in your organization on your behalf.?Update operations include confirming risk event detections.?","Read and write risk event information","IdentityRiskEvent.ReadWrite.All"
"Allows the app to read and update identity risky user information for all users in your organization on behalf of the signed-in user.?Update operations include dismissing risky users.","Read and write risky user information","e0a7cdbb-08b0-4697-8264-0069786e9674","True","Admin","Allows the app to read and update identity risky user information for all users in your organization on your behalf.?Update operations include dismissing risky users.","Read and write identity risky user information","IdentityRiskyUser.ReadWrite.All"
"Allows the app to read the signed-in user's mailbox.","Read user mail ","570282fd-fa5c-430d-a7fd-fc8dc98a9dca","True","User","Allows the app to read email in your mailbox. ","Read your mail ","Mail.Read"
"Allows the app to read identity risky user information for all users in your organization on behalf of the signed-in user.","Read identity risky user information","d04bb851-cb7c-4146-97c7-ca3e71baf56c","True","Admin","Allows the app to read identity risky user information for all users in your organization on behalf of the signed-in user.","Read identity risky user information","IdentityRiskyUser.Read.All"
"Allows the app to read the signed-in user's activity statistics, such as how much time the user has spent on emails, in meetings, or in chat sessions.","Read user activity statistics","e03cf23f-8056-446a-8994-7d93dfc8b50e","True","User","Allows the app to read your activity statistics, such as how much time you've spent on emails, in meetings, or in chat sessions.","Read your activity statistics","Analytics.Read"
"Allows the app to see and update the data you gave it access to, even when users are not currently using the app. This does not give the app any additional permissions.","Maintain access to data you have given it access to","7427e0e9-2fba-42fe-b0c0-848c9e6a8182","True","User","Allows the app to see and update the data you gave it access to, even when you are not currently using the app. This does not give the app any additional permissions.","Maintain access to data you have given it access to","offline_access"
"Allows the app to have the same access to mailboxes as the signed-in user via Exchange Web Services.","Access mailboxes as the signed-in user via Exchange Web Services","9769c687-087d-48ac-9cb3-c37dde652038","True","User","Allows the app full access to your mailboxes on your behalf.","Access your mailboxes","EWS.AccessAsUser.All"
"Allows the app to export data (e.g. customer content or system-generated logs), associated with any user in your company, when the app is used by a privileged user (e.g. a Company Administrator).","Export user's data","405a51b5-8d8d-430b-9842-8be4b0e9f324","True","Admin","Allows the app to export data (e.g. customer content or system-generated logs), associated with any user in your company, when the app is used by a privileged user (e.g. a Company Administrator).","Export user's data","User.Export.All"
