#TYPE System.Management.Automation.PSCustomObject
"allowedMemberTypes","description","displayName","id","isEnabled","origin","value"
"System.Object[]","Allows the application to read any data from Records Management, such as configuration, labels, and policies without the signed in user.","Read Records Management configuration,?labels and policies","ac3a2b8e-03a3-4da9-9ce0-cbe28bf1accd","True","Application","RecordsManagement.Read.All"
"System.Object[]","Allow the application to create, update and delete any data from Records Management, such as configuration, labels, and policies without the signed in user.","Read and write Records Management configuration, labels and policies","eb158f57-df43-4751-8b21-b8932adb3d34","True","Application","RecordsManagement.ReadWrite.All"
"System.Object[]","Allows the app to read details of delegated admin relationships with customers like access details (that includes roles) and the duration as well as specific role assignments to security groups without a signed-in user.","Read Delegated Admin relationships with customers","f6e9e124-4586-492f-adc0-c6f96e4823fd","True","Application","DelegatedAdminRelationship.Read.All"
"System.Object[]","Allows the app to manage (create-update-terminate) Delegated Admin relationships with customers and role assignments to security groups for active Delegated Admin relationships without a signed-in user.","Manage Delegated Admin relationships with customers","cc13eba4-8cd8-44c6-b4d4-f93237adce58","True","Application","DelegatedAdminRelationship.ReadWrite.All"
"System.Object[]","Allows the app to read and manage the Cloud PC role-based access control (RBAC) settings, without a signed-in user. This includes reading and managing Cloud PC role definitions and memberships.","Read and write all Cloud PC RBAC settings","274d0592-d1b6-44bd-af1d-26d259bcb43a","True","Application","RoleManagement.ReadWrite.CloudPC"
"System.Object[]","Allows the app to read the Cloud PC role-based access control (RBAC) settings, without a signed-in user.","Read Cloud PC RBAC settings","031a549a-bb80-49b6-8032-2068448c6a3c","True","Application","RoleManagement.Read.CloudPC"
"System.Object[]","Allows the app to read custom security attribute assignments for all principals in the tenant without a signed in user.","Read custom security attribute assignments","3b37c5a4-1226-493d-bec3-5d6c6b866f3f","True","Application","CustomSecAttributeAssignment.Read.All"
"System.Object[]","Allows the app to read custom security attribute definitions for the tenant without a signed in user.","Read custom security attribute definitions","b185aa14-d8d2-42c1-a685-0f5596613624","True","Application","CustomSecAttributeDefinition.Read.All"
"System.Object[]","Allows the app to read all external connections without a signed-in user.","Read all external connections","1914711b-a1cb-4793-b019-c2ce0ed21b8c","True","Application","ExternalConnection.Read.All"
"System.Object[]","Allows the app to read and write all external connections without a signed-in user.","Read and write all external connections","34c37bc0-2b40-4d5e-85e1-2365cd256d79","True","Application","ExternalConnection.ReadWrite.All"
"System.Object[]","Allows the app to read all external items without a signed-in user.","Read all external items","7a7cffad-37d2-4f48-afa4-c6ab129adcc2","True","Application","ExternalItem.Read.All"
"System.Object[]","Allows the app to read and write your organization's cross tenant access policies without a signed-in user.","Read and write your organization's cross tenant access policies","338163d7-f101-4c92-94ba-ca46fe52447c","True","Application","Policy.ReadWrite.CrossTenantAccess"
"System.Object[]","Allows the app to read and write custom security attribute definitions for the tenant without a signed in user.","Read and write custom security attribute definitions","12338004-21f4-4896-bf5e-b75dfaf1016d","True","Application","CustomSecAttributeDefinition.ReadWrite.All"
"System.Object[]","Allows the app to read and write custom security attribute assignments for all principals in the tenant without a signed in user.","Read and write custom security attribute assignments","de89b5e4-5b8f-48eb-8925-29c2b33bd8bd","True","Application","CustomSecAttributeAssignment.ReadWrite.All"
"System.Object[]","Allows the app to read and write to all security incidents, without a signed-in user.","Read and write to all security incidents","34bf0e97-1971-4929-b999-9e2442d941d7","True","Application","SecurityIncident.ReadWrite.All"
"System.Object[]","Allows the app to read all security incidents, without a signed-in user.","Read all security incidents","45cc0394-e837-488b-a098-1918f48d186c","True","Application","SecurityIncident.Read.All"
"System.Object[]","Allows the app to read and write to all security alerts, without a signed-in user.","Read and write to all security alerts","ed4fca05-be46-441f-9803-1873825f8fdb","True","Application","SecurityAlert.ReadWrite.All"
"System.Object[]","Allows the app to read all security alerts, without a signed-in user.","Read all security alerts","472e4a4d-bb4a-4026-98d1-0b0d74cb74a5","True","Application","SecurityAlert.Read.All"
"System.Object[]","Allows the app to read and write eDiscovery objects such as cases, custodians, review sets and other related objects without a signed-in user.","Read and write all eDiscovery objects","b2620db1-3bf7-4c5b-9cb9-576d29eac736","True","Application","eDiscovery.ReadWrite.All"
"System.Object[]","Allows the app to read eDiscovery objects such as cases, custodians, review sets and other related objects without a signed-in user.","Read all eDiscovery objects","50180013-6191-4d1e-a373-e590ff4e66af","True","Application","eDiscovery.Read.All"
"System.Object[]","Allows the app to run hunting queries, without a signed-in user.","Run hunting queries","dd98c7f5-2d42-42d3-a0e4-633161547251","True","Application","ThreatHunting.Read.All"
"System.Object[]","Allow the app to read the management data for Teams devices, without a signed-in user.","Read Teams devices","0591bafd-7c1c-4c30-a2a5-2b9aacb1dfe8","True","Application","TeamworkDevice.Read.All"
"System.Object[]","Allow the app to read and write the management data for Teams devices, without a signed-in user.","Read and write Teams devices","79c02f5b-bd4f-4713-bc2c-a8a4a66e127b","True","Application","TeamworkDevice.ReadWrite.All"
"System.Object[]","Allows the app to read and update identity risky service principal for your organization, without a signed-in user.","Read and write all identity risky service principal information","cb8d6980-6bcb-4507-afec-ed6de3a2d798","True","Application","IdentityRiskyServicePrincipal.ReadWrite.All"
"System.Object[]","Allows a Teams app to read, install, upgrade, and uninstall its own tabs for any user, without a signed-in user.","Allow the Teams app to manage only its own tabs for all users","3c42dec6-49e8-4a0a-b469-36cff0d9da93","True","Application","TeamsTab.ReadWriteSelfForUser.All"
"System.Object[]","Allows a Teams app to read, install, upgrade, and uninstall its own tabs in any team, without a signed-in user.","Allow the Teams app to manage only its own tabs for all teams","91c32b81-0ef0-453f-a5c7-4ce2e562f449","True","Application","TeamsTab.ReadWriteSelfForTeam.All"
"System.Object[]","Allows a Teams app to read, install, upgrade, and uninstall its own tabs for any chat, without a signed-in user.","Allow the Teams app to manage only its own tabs for all chats","9f62e4a2-a2d6-4350-b28b-d244728c4f86","True","Application","TeamsTab.ReadWriteSelfForChat.All"
"System.Object[]","Allows the app to read all risky service principal information for your organization, without a signed-in user.","Read all identity risky service principal information","607c7344-0eed-41e5-823a-9695ebe1b7b0","True","Application","IdentityRiskyServicePrincipal.Read.All"
"System.Object[]","Allows the app to read and write search configurations, without a signed-in user.","Read and write your organization's search configuration","0e778b85-fefa-466d-9eec-750569d92122","True","Application","SearchConfiguration.ReadWrite.All"
"System.Object[]","Allows the app to read search configurations, without a signed-in user.","Read your organization's search configuration","ada977a5-b8b1-493b-9a91-66c206d76ecf","True","Application","SearchConfiguration.Read.All"
"System.Object[]","Allows the app to read online meeting artifacts in your organization, without a signed-in user.","Read online meeting artifacts","df01ed3b-eb61-4eca-9965-6b3d789751b2","True","Application","OnlineMeetingArtifact.Read.All"
"System.Object[]","Allows the app to create, read, update, and delete apps in the app catalogs without a signed-in user.","Read and write to all app catalogs","dc149144-f292-421e-b185-5953f2e98d7f","True","Application","AppCatalog.ReadWrite.All"
"System.Object[]","Allows the app to read apps in the app catalogs without a signed-in user.","Read all app catalogs","e12dae10-5a57-4817-b79d-dfbec5348930","True","Application","AppCatalog.Read.All"
"System.Object[]","Allows the app to manage workforce integrations to synchronize data from Microsoft Teams Shifts, without a signed-in user.","Read and write workforce integrations","202bf709-e8e6-478e-bcfd-5d63c50b68e3","True","Application","WorkforceIntegration.ReadWrite.All"
"System.Object[]","Allows the app to read all presence information and write activity and availability of all users in the directory without a signed-in user. Presence information includes activity, availability, status note, calendar out-of-office message, time zone and location.","Read and write presence information for all users","83cded22-8297-4ff6-a7fa-e97e9545a259","True","Application","Presence.ReadWrite.All"
"System.Object[]","Allows the app to read and write tags in Teams without a signed-in user.","Read and write tags in Teams","a3371ca5-911d-46d6-901c-42c8c7a937d8","True","Application","TeamworkTag.ReadWrite.All"
"System.Object[]","Allows the app to read?tags in Teams?without a signed-in user.","Read tags in Teams","b74fd6c4-4bde-488e-9695-eeb100e4907f","True","Application","TeamworkTag.Read.All"
"System.Object[]","Allows the app to read and write all Windows update deployment settings for the organization without a signed-in user.","Read and write all Windows update deployment settings","7dd1be58-6e76-4401-bf8d-31d1e8180d5b","True","Application","WindowsUpdates.ReadWrite.All"
"System.Object[]","Allows the app to read and write external connections without a signed-in user. The app can only read and write external connections that it is authorized to, or it can create new external connections. ","Read and write external connections","f431331c-49a6-499f-be1c-62af19c34a9d","True","Application","ExternalConnection.ReadWrite.OwnedBy"
"System.Object[]","Allows the app to read and write external items without a signed-in user. The app can only read external items of the connection that it is authorized to.","Read and write external items","8116ae0f-55c2-452d-9944-d18420f5b2c8","True","Application","ExternalItem.ReadWrite.OwnedBy"
"System.Object[]","Allow the application to access a subset of site collections without a signed in user.??The specific site collections and the permissions granted will be configured in SharePoint Online.","Access selected site collections","883ea226-0bf2-4a8f-9f9d-92c9162a727d","True","Application","Sites.Selected"
"System.Object[]","Allows the app to read documents and list items in all site collections without a signed in user.","Read items in all site collections ","332a536c-c7ef-4017-ab91-336970924f0d","True","Application","Sites.Read.All"
"System.Object[]","Allows the app to create, read, update, and delete documents and list items in all site collections without a signed in user.","Read and write items in all site collections","9492366f-7969-46a4-8d15-ed1a20078fff","True","Application","Sites.ReadWrite.All"
"System.Object[]","Allows the app to read and write the properties of Cloud PCs, without a signed-in user.","Read and write Cloud PCs","3b4349e1-8cf5-45a3-95b7-69d1751d3e6a","True","Application","CloudPC.ReadWrite.All"
"System.Object[]","Allows the app to read the properties of Cloud PCs, without a signed-in user.","Read Cloud PCs","a9e09520-8ed4-4cde-838e-4fdea192c227","True","Application","CloudPC.Read.All"
"System.Object[]","Allows the app to update service principal endpoints","Read and update service principal endpoints","89c8469c-83ad-45f7-8ff2-6e3d4285709e","True","Application","ServicePrincipalEndpoint.ReadWrite.All"
"System.Object[]","Allows the app to read service principal endpoints","Read service principal endpoints","5256681e-b7f6-40c0-8447-2d9db68797a0","True","Application","ServicePrincipalEndpoint.Read.All"
"System.Object[]","Allows the app to create new notifications in users' teamwork activity feeds without a signed in user. These notifications may not be discoverable or be held or governed by compliance policies.","Send a teamwork activity to any user","a267235f-af13-44dc-8385-c1dc93023186","True","Application","TeamsActivity.Send"
"System.Object[]","Allows the app to read terms of use acceptance statuses, without a signed in user.","Read all terms of use acceptance statuses","d8e4ec18-f6c0-4620-8122-c8b1f2bf400e","True","Application","AgreementAcceptance.Read.All"
"System.Object[]","Allows the app to read and write terms of use agreements, without a signed in user.","Read and write all terms of use agreements","c9090d00-6101-42f0-a729-c41074260d47","True","Application","Agreement.ReadWrite.All"
"System.Object[]","Allows the app to read terms of use agreements, without a signed in user.","Read all terms of use agreements","2f3e6f8c-093b-4c57-a58b-ba5ce494a169","True","Application","Agreement.Read.All"
"System.Object[]","Allows the app to read app consent requests and approvals, and deny or approve those requests without a signed-in user.","Read and write all consent requests","9f1b81a7-0223-4428-bfa4-0bcb5535f27d","True","Application","ConsentRequest.ReadWrite.All"
"System.Object[]","Allows the app to read and write your organization's consent requests policy without a signed-in user.","Read and write your organization's consent request policy","999f8c63-0a38-4f1b-91fd-ed1947bdd1a9","True","Application","Policy.ReadWrite.ConsentRequest"
"System.Object[]","Allows the app to read consent requests and approvals without a signed-in user.","Read all consent requests","1260ad83-98fb-4785-abbb-d6cc1806fd41","True","Application","ConsentRequest.Read.All"
"System.Object[]","Allows the app to read basic mail properties in all mailboxes without a signed-in user. Includes all properties except body, previewBody, attachments and any extended properties.","Read basic mail in all mailboxes","693c5e45-0940-467d-9b8a-1022fb9d42ef","True","Application","Mail.ReadBasic.All"
"System.Object[]","Allows the app to read basic mail properties in all mailboxes without a signed-in user. Includes all properties except body, previewBody, attachments and any extended properties.","Read basic mail in all mailboxes","6be147d2-ea4f-4b5a-a3fa-3eab6f3c140a","True","Application","Mail.ReadBasic"
"System.Object[]","Allows the app to read and write feature rollout policies without a signed-in user. Includes abilities to assign and remove users and groups to rollout of a specific feature.","Read and write feature rollout policies","2044e4f1-e56c-435b-925c-44cd8f6ba89a","True","Application","Policy.ReadWrite.FeatureRollout"
"System.Object[]","Allows the app to read and manage the role-based access control (RBAC) settings for your company's directory, without a signed-in user. This includes instantiating directory roles and managing directory role membership, and reading directory role templates, directory roles and memberships.","Read and write all directory RBAC settings","9e3f62cf-ca93-4989-b6ce-bf83c28f9fe8","True","Application","RoleManagement.ReadWrite.Directory"
"System.Object[]","Allows the app to read the role-based access control (RBAC) settings for your company's directory, without a signed-in user.  This includes reading directory role templates, directory roles and memberships.","Read all directory RBAC settings","483bed4a-2ad3-4361-a73b-c83ccdbdc53c","True","Application","RoleManagement.Read.Directory"
"System.Object[]","Allows the app to read and write the organization and related resources, without a signed-in user.?Related resources include things like subscribed skus and tenant branding information.","Read and write organization information","292d869f-3427-49a8-9dab-8c70152b74e9","True","Application","Organization.ReadWrite.All"
"System.Object[]","Allows the app to read the organization and related resources, without a signed-in user.?Related resources include things like subscribed skus and tenant branding information.","Read organization information","498476ce-e0fe-48b0-b801-37ba7e2685c6","True","Application","Organization.Read.All"
"System.Object[]","Allows the app to read company places (conference rooms and room lists) for calendar events and other applications, without a signed-in user.","Read all company places","913b9306-0ce1-42b8-9137-6a7df690a760","True","Application","Place.Read.All"
"System.Object[]","Allows the app to read the memberships of hidden groups and administrative units without a signed-in user.","Read all hidden memberships","658aa5d8-239f-45c4-aa12-864f4fc7e490","True","Application","Member.Read.Hidden"
"System.Object[]","Allow the app to read or write items in all external datasets that the app is authorized to access","Read and write items in external datasets","38c3d6ee-69ee-422f-b954-e17819665354","True","Application","ExternalItem.ReadWrite.All"
"System.Object[]","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings in the organization for group and app memberships, without a signed-in user.","Manage access reviews for group and app memberships","18228521-a591-40f1-b215-5fad4488c117","True","Application","AccessReview.ReadWrite.Membership"
"System.Object[]","Allows the app to read properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups, without a signed-in user.","Read Microsoft Intune device configuration and policies","dc377aa6-52d8-4e23-b271-2a7ae04cedf3","True","Application","DeviceManagementConfiguration.Read.All"
"System.Object[]","Allows the app to read the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune, without a signed-in user.","Read Microsoft Intune apps","7a6ee1e7-141e-4cec-ae74-d9db155731ff","True","Application","DeviceManagementApps.Read.All"
"System.Object[]","Allows the app to read the properties of devices managed by Microsoft Intune, without a signed-in user.","Read Microsoft Intune devices","2f51be20-0bb4-4fed-bf7b-db946066c75e","True","Application","DeviceManagementManagedDevices.Read.All"
"System.Object[]","Allows the app to read the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings, without a signed-in user.","Read Microsoft Intune RBAC settings","58ca0d9a-1575-47e1-a3cb-007ef2e4583b","True","Application","DeviceManagementRBAC.Read.All"
"System.Object[]","Allows the app to read Microsoft Intune service properties including device enrollment and third party service connection configuration, without a signed-in user.","Read Microsoft Intune configuration","06a5fe6d-c49d-46a7-b082-56b1b14103c7","True","Application","DeviceManagementServiceConfig.Read.All"
"System.Object[]","Allows the app to create, view, update and delete on-premises published resources, on-premises agents and agent groups, as part of a hybrid identity configuration, without a signed in user.","Manage on-premises published resources","0b57845e-aa49-4e6f-8109-ce654fffa618","True","Application","OnPremisesPublishingProfiles.ReadWrite.All"
"System.Object[]","Allows the app to read and write trust framework key set properties without a signed-in user.","Read and write trust framework key sets","4a771c9a-1cf2-4609-b88e-3d3e02d539cd","True","Application","TrustFrameworkKeySet.ReadWrite.All"
"System.Object[]","Allows the app to read trust framework key set properties without a signed-in user.","Read trust framework key sets","fff194f1-7dce-4428-8301-1badb5518201","True","Application","TrustFrameworkKeySet.Read.All"
"System.Object[]","Allows the app to read and write your organization's trust framework policies without a signed in user.","Read and write your organization's trust framework policies","79a677f7-b79d-40d0-a36a-3e6f8688dd7a","True","Application","Policy.ReadWrite.TrustFramework"
"System.Object[]","Allows the app to read all your organization's policies without a signed in user.","Read your organization's policies","246dd0d5-5bd0-4def-940b-0421030a5b68","True","Application","Policy.Read.All"
"System.Object[]","Allows the app to read and write your organization?s identity (authentication) providers? properties without a signed in user.","Read and write identity providers","90db2b9a-d928-4d33-a4dd-8442ae3d41e4","True","Application","IdentityProvider.ReadWrite.All"
"System.Object[]","Allows the app to read your organization?s identity (authentication) providers? properties without a signed in user.","Read identity providers","e321f0bb-e7f7-481e-bb28-e3b0b32d4bd0","True","Application","IdentityProvider.Read.All"
"System.Object[]","Allows the app to create, read, update, and delete administrative units and manage administrative unit membership without a signed-in user.","Read and write all administrative units","5eb59dd3-1da2-4329-8733-9dabdc435916","True","Application","AdministrativeUnit.ReadWrite.All"
"System.Object[]","Allows the app to read administrative units and administrative unit membership without a signed-in user.","Read all administrative units","134fd756-38ce-4afd-ba33-e9623dbe66c2","True","Application","AdministrativeUnit.Read.All"
"System.Object[]","Allows an app to read published sensitivity labels and label policy settings for the entire organization or a specific user, without a signed in user.","Read all published labels and label policies for an organization.","19da66cb-0fb0-4390-b071-ebc76a349482","True","Application","InformationProtectionPolicy.Read.All"
"System.Object[]","Allows the app to read all the OneNote notebooks in your organization, without a signed-in user.","Read all OneNote notebooks","3aeca27b-ee3a-4c2b-8ded-80376e2134a4","True","Application","Notes.Read.All"
"System.Object[]","Allows the app to invite guest users to the organization, without a signed-in user.","Invite guest users to the organization","09850681-111b-4a89-9bed-3f2cae46d706","True","Application","User.Invite.All"
"System.Object[]","Allows the app to read, create, update and delete all files in all site collections without a signed in user. ","Read and write files in all site collections","75359482-378d-4052-8f01-80520e7db3cd","True","Application","Files.ReadWrite.All"
"System.Object[]","Allows the app to create threat indicators, and fully manage those threat indicators (read, update and delete), without a signed-in user. ?It cannot update any threat indicators it does not own.","Manage threat indicators this app creates or owns","21792b6c-c986-4ffc-85de-df9da54b52fa","True","Application","ThreatIndicators.ReadWrite.OwnedBy"
"System.Object[]","Allows the app to read or update security actions, without a signed-in user.","Read and update your organization's security actions","f2bf083f-0179-402a-bedb-b2784de8a49b","True","Application","SecurityActions.ReadWrite.All"
"System.Object[]","Allows the app to read security actions, without a signed-in user.","Read your organization's security actions","5e0edab9-c148-49d0-b423-ac253e121825","True","Application","SecurityActions.Read.All"
"System.Object[]","Allows the app to read your organization?s security events without a signed-in user. Also allows the app to update editable properties in security events.","Read and update your organization?s security events","d903a879-88e0-4c09-b0c9-82f6a1333f84","True","Application","SecurityEvents.ReadWrite.All"
"System.Object[]","Allows the app to read your organization?s security events without a signed-in user.","Read your organization?s security events","bf394140-e372-4bf9-a898-299cfc7564e5","True","Application","SecurityEvents.Read.All"
"System.Object[]","Allows an app to read and write all chat messages in Microsoft Teams, without a signed-in user.","Read and write all chat messages","294ce7c9-31ba-490a-ad7d-97a7d075e4ed","True","Application","Chat.ReadWrite.All"
"System.Object[]","Allows the app to read and update identity risk detection information for your organization without a signed-in user. Update operations include confirming risk event detections.?","Read and write all risk detection information","db06fb33-1953-4b7b-a2ac-f1e2c854f7ae","True","Application","IdentityRiskEvent.ReadWrite.All"
"System.Object[]","Allows the app to read and update identity risky user information for your organization without a signed-in user. ?Update operations include dismissing risky users.","Read and write all risky user information","656f6061-f9fe-4807-9708-6a2e0934df76","True","Application","IdentityRiskyUser.ReadWrite.All"
"System.Object[]","Allows the app to read all files in all site collections without a signed in user.","Read files in all site collections","01d4889c-1287-42c6-ac1f-5d1e02578ef6","True","Application","Files.Read.All"
"System.Object[]","Allows the app to read the identity risk event information for your organization without a signed in user.","Read all identity risk event information","6e472fd1-ad78-48da-a0f0-97ab2c6b769e","True","Application","IdentityRiskEvent.Read.All"
"System.Object[]","Allows the app to read a limited subset of properties from both the structure of schools and classes in the organization's roster and education-specific information about all users. Includes name, status, role, email address and photo.","Read a limited subset of the organization's roster","0d412a8c-a06c-439f-b3ec-8abcf54d2f96","True","Application","EduRoster.ReadBasic.All"
"System.Object[]","Allows the app to read the structure of schools and classes in the organization's roster and education-specific information about all users to be read.","Read the organization's roster","e0ac9e1b-cb65-4fc5-87c5-1a8bc181f648","True","Application","EduRoster.Read.All"
"System.Object[]","Allows the app to read and write the structure of schools and classes in the organization's roster and education-specific information about all users to be read and written.","Read and write the organization's roster","d1808e82-ce13-47af-ae0d-f9b254e6d58a","True","Application","EduRoster.ReadWrite.All"
"System.Object[]","Allows the app to read assignments without grades for all users.","Read class assignments without grades","6e0a958b-b7fc-4348-b7c4-a6ab9fd3dd0e","True","Application","EduAssignments.ReadBasic.All"
"System.Object[]","Allows the app to read and write assignments without grades for all users.","Read and write class assignments without grades","f431cc63-a2de-48c4-8054-a34bc093af84","True","Application","EduAssignments.ReadWriteBasic.All"
"System.Object[]","Allows the app to read assignments and their grades for all users.","Read class assignments with grades","4c37e1b6-35a1-43bf-926a-6f30f2cdf585","True","Application","EduAssignments.Read.All"
"System.Object[]","Allows the app to read and write assignments and their grades for all users.","Read and write class assignments with grades","0d22204b-6cad-4dd0-8362-3e3f2ae699d9","True","Application","EduAssignments.ReadWrite.All"
"System.Object[]","Read the state and settings of all Microsoft education apps.","Read Education app settings","7c9db06a-ec2d-4e7b-a592-5a1e30992566","True","Application","EduAdministration.Read.All"
"System.Object[]","Manage the state and settings of all Microsoft education apps.","Manage education app settings","9bc431c3-b8bc-4a8d-a219-40f10f92eff6","True","Application","EduAdministration.ReadWrite.All"
"System.Object[]","Allows the app to read the identity risky user information for your organization without a signed in user.","Read all identity risky user information","dc5007c0-2d7d-4c42-879c-2dab87571379","True","Application","IdentityRiskyUser.Read.All"
"System.Object[]","Allows the app to read and update user profiles without a signed in user.","Read and write all users' full profiles","741f803b-c850-494e-b5df-cde7c675a1ca","True","Application","User.ReadWrite.All"
"System.Object[]","Allows the app to read user profiles without a signed in user.","Read all users' full profiles","df021288-bdef-4463-88db-98f22de89214","True","Application","User.Read.All"
"System.Object[]","Allows the app to read and query your audit log activities, without a signed-in user.","Read all audit log data","b0afded3-3588-46d8-8b3d-9842eff778da","True","Application","AuditLog.Read.All"
"System.Object[]","Allows the app to create other applications, and fully manage those applications (read, update, update application secrets and delete), without a signed-in user. ?It cannot update any apps that it is not an owner of.","Manage apps that this app creates or owns","18a4783c-866b-4cc7-a460-3d5e5662c884","True","Application","Application.ReadWrite.OwnedBy"
"System.Object[]","Allows the app to export data (e.g. customer content or system-generated logs), associated with any user in your company, when the app is used by a privileged user (e.g. a Company Administrator).","Export user's data","405a51b5-8d8d-430b-9842-8be4b0e9f324","True","Application","User.Export.All"
"System.Object[]","Allows the app to read, update, delete and perform actions on programs and program controls in the organization, without a signed-in user.","Manage all programs","60a901ed-09f7-4aa5-a16e-7dd3d6f9de36","True","Application","ProgramControl.ReadWrite.All"
"System.Object[]","Allows the app to read programs and program controls in the organization, without a signed-in user.","Read all programs","eedb7fdd-7539-4345-a38b-4839e4a84cbd","True","Application","ProgramControl.Read.All"
"System.Object[]","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings in the organization, without a signed-in user.","Manage all access reviews","ef5f7d5c-338f-44b0-86c3-351f46c8bb5f","True","Application","AccessReview.ReadWrite.All"
"System.Object[]","Allows the app to read access reviews, reviewers, decisions and settings in the organization, without a signed-in user.","Read all access reviews","d07a8cc0-3d51-4b77-b3b0-32704d1f69fa","True","Application","AccessReview.Read.All"
"System.Object[]","Allows an app to read all service usage reports without a signed-in user.  Services that provide usage reports include Office 365 and Azure Active Directory.","Read all usage reports","230c1aed-a721-4c5d-9cb4-a90514e508ef","True","Application","Reports.Read.All"
"System.Object[]","Allows the app to read any user's scored list of relevant people, without a signed-in user. The list can include local contacts, contacts from social networking, your organization's directory, and people from recent communications (such as email and Skype).","Read all users' relevant people lists","b528084d-ad10-4598-8b93-929746b4d7d6","True","Application","People.Read.All"
"System.Object[]","Allows the app to update Microsoft Teams 1-to-1 or group chat messages by patching a set of Data Loss Prevention (DLP) policy violation properties to handle the output of DLP processing.","Flag chat messages for violating policy","7e847308-e030-4183-9899-5235d7270f58","True","Application","Chat.UpdatePolicyViolation.All"
"System.Object[]","Allows the app to read all 1-to-1 or group chat messages in Microsoft Teams.","Read all chat messages","6b7d71aa-70aa-4810-a8d9-5d9fb2830017","True","Application","Chat.Read.All"
"System.Object[]","Allows the app to read all channel messages in Microsoft Teams","Read all channel messages","7b2449af-6ccd-4f4d-9f78-e550c193f0d1","True","Application","ChannelMessage.Read.All"
"System.Object[]","Allows the app to update Microsoft Teams channel messages by patching a set of Data Loss Prevention (DLP) policy violation properties to handle the output of DLP processing.","Flag channel messages for violating policy","4d02b0cc-d90b-441f-8d82-4fb55c34d6bb","True","Application","ChannelMessage.UpdatePolicyViolation.All"
"System.Object[]","Allows the app to create, read, update and delete applications and service principals without a signed-in user.  Does not allow management of consent grants.","Read and write all applications","1bfefb4e-e0b5-418b-a88f-73c46d2cc8e9","True","Application","Application.ReadWrite.All"
"System.Object[]","Allows the app to create, read, update, and delete user's mailbox settings without a signed-in user. Does not include permission to send mail.","Read and write all user mailbox settings","6931bccd-447a-43d1-b442-00a195474933","True","Application","MailboxSettings.ReadWrite"
"System.Object[]","Allows the app to read and write all domain properties without a signed in user. ?Also allows the app to add, ?verify and remove domains.","Read and write domains","7e05723c-0bb0-42da-be95-ae9f08a6e53c","True","Application","Domain.ReadWrite.All"
"System.Object[]","Allows the app to read user's mailbox settings without a signed-in user. Does not include permission to send mail.","Read all user mailbox settings","40f97065-369a-49f4-947c-6a255697ae91","True","Application","MailboxSettings.Read"
"System.Object[]","Allows the app to read mail in all mailboxes without a signed-in user.","Read mail in all mailboxes","810c84a8-4a9e-49e6-bf7d-12d183f40d01","True","Application","Mail.Read"
